Key,Description,Standard,English
SAY.Flowchart.685.Директор,,"Время покажет. Если ты совершишь ошибку, то мы сразу это поймем. А если поведешь себя достойно, то займешь место Хранителя. Все зависит от выбора.
\n","Time will tell. If you make a mistake, we will immediately understand it. And if you behave yourself with dignity, you will take the place of the Guardian. It all depends on the choice.
"
SAY.Flowchart.688. ,,"А если я чувствую, что это неправильно?
\n","What if I feel like it's wrong?
"
SAY.Flowchart.689.Директор,,"Ты еще ребенок и не понимаешь элементарного. Следуй за фактами, а не за эмоциями или слухами, тогда все станет ясным.
\n"," You are still a child and do not understand elementary things. Follow the facts, not emotions or rumors, then everything will become clear."
SAY.Flowchart.690. ,,Вы так и делаете?,Is that what you do?
\n,,,
SAY.Flowchart.691.Директор,,"Практичный подход самый выгодный. Если следовать логике, то наша миссия оправдывает средства.
\n","The practical approach is the most beneficial. Logically, our purpose justifies the means"
SAY.Flowchart.703. ,,"В школе прозвенел звонок, и ученики вернулись на занятия, сопровождаемые Директрисой. ","The bell rang at the school, and the students returned to class, accompanied by the Headmistress."
SAY.Flowchart.705. ,," Не знаю, права она или нет, но ведь мой друг не мог погибнуть, да? Он должен быть в лучшем мире и счастлив."," I don’t know if she’s right or not, but my friend couldn’t die, right? He should be in a better world and happy. "
SAY.Flowchart.707. ,,А что насчет остальных? Ведь все родственники избранных рады за них.,"What about the rest? After all, the relatives of the chosen ones are happy for them."
SAY.Flowchart.706. ,," И если ушедшие все равно больше не вернутся, то мы должны хотя бы думать, что они счастливы, верно?
\n","And if those who left do not come back anyway, then we should at least think that they are happy, right? 

"
SAY.Flowchart.724. ,,"Я поговорил со всеми людьми из письма, но что мне делать дальше?","I spoke to all the people in the letter, but what should I do next?"
SAY.Flowchart.739. ,,"Должен ли я помогать Хранителям? Или нужно рассказать людям правду о том, что происходит? ",Should I help the Guardians? Or do I need to tell people the truth about what's going on?
SAY.Flowchart.738. ,,"Будет ли ошибкой что-то одно или, что не выбери, все равно промахов не избежать?
\n","Will one thing be a mistake, or can you choose what you think is right, and still mistakes cannot be avoided?"
MENU.Flowchart.740,,Рассказать людям правду,Tell people the truth
\n,,,
MENU.Flowchart.742,,Сохранить все в тайне,Keep it all a secret
SAY.Flowchart.743. ,,"Я рассказал людям правду об их близких, о тумане и о необходимых жертвах. Последовавшее недоумение и растерянность вскоре сменились на отчаяние и панику. Люди метались от границы к границе, оплакивали погибших, кто-то, несмотря на опасность, покидал деревню, растворяясь в тумане. Обезумев, часть жителей собралась в толпу и жаждала крови тех, кто скрывал тайну. 
\nЕдинственным, кого они пощадили, был я. Наблюдая, как они устроили казни на кострах, слушая крики привязанных к столбам людей, я не чувствовал ничего, кроме опустошения. Самый громкий крик Директрисы заглушил безумный смех Старика, выплясывающего около костров. Одна лишь Староста не издала ни звука. Она только смотрела на меня, пока пламя не поглотило ее тело.
\nЧерез некоторое время люди, все же, приняли свое горе и успокоились. Жизнь начала возвращаться в прежнее русло, словно ничего не произошло. 
\nТак прошел год. 
\nСпокойствие исчезло в ту секунду, как по округе пробежал странный мальчик, крича, что туман, наконец, свободен и идет играть. Люди высыпали на улицы и замерли, в ужасе наблюдая за плотными клубами тумана, ползущими по земле со всех сторон. 
\nПаника снова захлестнула деревню. Подстегиваемые отчаянием, люди решили испытать судьбу и вместе зайти в туман в поиске выхода. Кто-то погиб практически сразу, как пелена окутала его, но остальные, скрепя сердце, шли дальше. Долгое время мы блуждали, не видя ничего дальше пары метров. Многие навсегда остались в проклятых топях. Не знаю, сколько минуло дней, но, когда люди почти отчаялись, мы увидели яркий свет, пробившийся через туман. Свет нового мира.
\nБыло ли это решение ошибкой или нет, нельзя сказать наверняка, но это было моим выбором.
\n","I told people the truth about their loved ones, about the fog, about the necessary sacrifices. The ensuing bewilderment and confusion soon gave way to despair and panic. People ran from border to border, mourned the dead, someone, despite the danger, left the village and disappeared in the fog. Completely distraught, some of the villagers gathered in a crowd and thirsted for the blood of those who were hiding the secret.
The only one they spared was me. As I watched them arrange the executions at the stake, I listened to the cries of the people tied to the piles and felt nothing but emptiness. The loudest cry of the Headmistress drowned in the mad laughter of the Old man dancing around the fires. Only the Keeper made no sound. She only looked at me until the flames consumed her body.
After a while, people accepted their grief and calmed down. 
Life began to return to its familiar ways as if nothing had happened.
So a year passed.
The calm vanished in the second, when a strange boy ran around the neighborhood, shouting that the fog was finally free and coming to play. People came out to the streets and froze, in horror watching the dense clouds of fog crawling along the ground from all directions.
Panic swept through the village again. Motivated by despair, they decided to try luck and went into the fog in search of a way out together. Someone died almost immediately, as the fog enveloped him, but the rest moved on. For a long time, we wandered, not seeing anything further than a couple of meters. Many remained forever in the cursed swamps. I don't know how many days passed, but when people were almost desperate, we saw a bright light breaking through the fog. Light of the new world.
Whether my decision was a mistake or not, no one can say for sure, but it was my choice.
"
SAY.Flowchart.744. ,,"Ошибочное и недолговечное счастье все же лучше, чем знание о неминуемой смерти. 
\nРешив, что спокойствие и блаженство неведения важнее горькой правды, я сохранил тайну, доверенную отцом. Вскоре остальные Хранители прониклись ко мне доверием и раскрыли подробности давнего проклятья, с каждым годом все плотнее сжимающегося вокруг деревни. Проклятья, от которого лишь мы могли защитить наш дом. 
\nОни рассказали мне, что туман разумен и жаждет крови, и обманывая людей, мы оберегаем их от безумия и паники. Хранители пытались найти выход, но ничего не вышло, поэтому оставалось только сдерживать туман, чтобы деревня могла и дальше существовать в блаженном неведении.
\nПродолжая жертвовать одним человеком в год, мы сохраняли жизни десятков. Было ли это ошибкой или нет, нельзя сказать наверняка, но это было моим выбором.
\n","False and short-lived happiness is still better than the knowledge of imminent death.
I decided that the calmness and bliss of ignorance are more important than the bitter truth, I kept the secret that my father entrusted to me. Soon, the rest of the Guardians believed me and revealed the details of a long-standing curse, which is shrinking more and more densely around the village every year. A curse that only we could protect our home from.
They told me that the fog has a mind and it's thirsts for blood. That by lying to people, we protect them from madness and panic. The Guardians tried to find a way out, but nothing came of it. All that remained was to contain the fog so that the village could continue to exist in blissful ignorance.
By continuing to sacrifice one person a year, we saved the lives of dozens. Whether it was a mistake or not, no one can say for sure, but it was my choice.
"
CHARACTER.Старшина,,Старшина,The keeper
CHARACTER. ,, ,
CHARACTER.Письмо,,Письмо,Letter
CHARACTER.Безумный дед,,Безумный дед,Mad old man
CHARACTER.Директор,,Директор,Headmistress
CHARACTER.Плюшевый заяц,,Плюшевый заяц,Plush bunny
CHARACTER.Учитель,,Учитель,The teacher
CHARACTER.Странный пацан,,Странный пацан,Child
CHARACTER.Дядька,,Дядька,Uncle left without bothering to close the door behind him. 
